"Account","Date","Description","Category","Amount"
"Chequing","2015-10-15","Payroll Deposit","",-3224.22
"Chequing","2015-10-15","Mortgage","",1372.03
"Chequing","2015-10-15","Payment","",179.87
"Chequing","2015-10-16","Mutual Funds","",200.0
"Chequing","2015-10-16","Payment","",33.0
"Chequing","2015-10-16","Loan Interest","",101.57
"Chequing","2015-10-16","Www Trf Dda - 7839","",18.0
"Chequing","2015-10-16","Www Trf Dda - 7838","",100.0
"Chequing","2015-10-16","Www Trf Dda - 7837","",140.0
"Chequing","2015-10-19","Bill Payment","",-40.0
"Chequing","2015-10-19","Withdrawal","",300.0
"Chequing","2015-10-20","Federal Payment","",-320.0
"Chequing","2015-10-21","Mutual Funds","",100.0
"Chequing","2015-10-21","Mutual Funds","",100.0
"Chequing","2015-10-26","Transfer","",-2000.0
"Chequing","2015-10-26","Investment","",-1005.43
"Chequing","2015-10-26","Loan Pmt","",1000.0
"Chequing","2015-10-26","Transfer","",4747.25
"Chequing","2015-10-29","Deposit","",-1000.0
"Chequing","2015-10-29","Loan Pmt","",1000.0
"Chequing","2015-10-30","Bill Payment","",-126.6
"Chequing","2015-10-30","Payroll Deposit","",-3224.22
"Chequing","2015-11-02","Property Tax","",397.0
"Chequing","2015-11-02","Term Loan","",686.85
"Chequing","2015-11-02","Cheque - # 101","",12.0
"Chequing","2015-11-02","Cheque - # 256","",170.0
"Chequing","2015-11-02","Payment","",31.0
"Chequing","2015-11-02","Email Trfs","",25.0
"Chequing","2015-11-06","Misc Payment","",59.72
"Chequing","2015-11-10","Monthly Fee","",4.0
"Chequing","2015-11-10","Multiproduct Rebate","",-4.0
"Chequing","2015-11-13","Payroll Deposit","",-3224.22
"Chequing","2015-11-16","Mutual Funds","",200.0
"Chequing","2015-11-16","Mortgage","",1372.03
"Chequing","2015-11-16","Loan Interest","",106.78
"Chequing","2015-11-17","Transfer","",-2998.82
"Chequing","2015-11-17","Payment","",2998.82
"Chequing","2015-11-18","Withdrawal","",100.0
"Chequing","2015-11-20","Federal Payment","",-320.0
"Chequing","2015-11-23","Email Trfs","",55.0
"Chequing","2015-11-23","C-Idp Purchase-3779","",32.5
"Chequing","2015-11-24","Transfer","",-2242.08
"Chequing","2015-11-24","Business Pad","",-54.56
"Chequing","2015-11-24","Payment","",2242.08
"Chequing","2015-11-26","Bill Payment","",-2022.86
"Chequing","2015-11-30","Payroll Deposit","",-3224.22
"Chequing","2015-11-30","Transfer","",6395.84
"Chequing","2015-12-01","Property Tax","",396.73
"Chequing","2015-12-01","Term Loan","",686.85
"Chequing","2015-12-01","Www Trf Dda - 5407","",60.0
"Chequing","2015-12-01","Www Trf Dda - 5409","",187.0
